ID,Text_lang,RelationshipFlags,EmotesTextID
83,%s кланяется |3-2(%s).,0,17
84,%s кланяется вам.,1,17
85,Вы кланяетесь |3-2(%s).,2,17
86,%s изящно кланяется.,4,17
87,Вы изящно кланяетесь.,6,17
88,%s грубо рыгает в лицо |3-2(%s).,0,18
89,%s грубо рыгает вам в лицо.,1,18
90,Вы грубо рыгаете в лицо |3-2(%s).,2,18
91,%s громко рыгает.,4,18
92,Вы громко рыгаете.,6,18
93,%s машет на прощание |3-2(%s). До свидания!,0,19
94,%s машет вам рукой на прощание.,1,19
95,Вы машете рукой |3-2(%s). До свидания!,2,19
96,%s машет рукой всем на прощание. До свидания!,4,19
97,Вы машете всем рукой. До свидания!,6,19
98,%s громко хохочет над |3-4(%s).,0,20
99,%s громко хохочет над вами.,1,20
100,Вы глупо хохочете над |3-4(%s).,2,20
101,%s громко хохочет.,4,20
102,Вы громко расхохотались.,6,20
103,%s радуется успехам |3-1(%s)!,0,21
104,%s радуется вашим успехам.,1,21
105,Вы радуетесь успехам |3-1(%s).,2,21
106,%s не может сдержать радости!,4,21
107,Вы очень рады!,6,21
108,"Хлопая руками, %s расхаживает вокруг |3-1(%s). Цыпа-цыпа-цыпа!",0,22
109,"Хлопая руками, %s расхаживает вокруг вас. Цыпа-цыпа-цыпа!",1,22
110,"Хлопая руками, вы расхаживаете вокруг |3-1(%s). Цыпа-цыпа-цыпа!",2,22
111,"Хлопая руками, %s расхаживает вокруг. Цыпа-цыпа-цыпа!",4,22
112,"Хлопая руками, вы расхаживаете вокруг. Цыпа-цыпа-цыпа!",6,22
113,%s хихикает при виде |3-1(%s).,0,23
114,%s хихикает над вами.,1,23
115,Вы хихикаете над |3-4(%s).,2,23
116,%s от души хихикает.,4,23
117,Вы смеетесь от всей души.,6,23
118,%s восторженно рукоплещет |3-2(%s).,0,24
119,%s воодушевленно аплодирует вам.,1,24
120,Вы восторженно апплодируете |3-2(%s).,2,24
121,%s восторженно рукоплещет.,4,24
122,Вы восторженно апплодируете.,6,24
123,%s недоуменно смотрит на |3-3(%s).,0,25
124,%s растерянно смотрит на вас.,1,25
125,Вы недоуменно смотрите на |3-3(%s).,2,25
126,%s в полном недоумении.,4,25
127,Вы в полном неодумении.,6,25
128,%s поздравляет |3-3(%s).,0,26
129,%s поздравляет вас.,1,26
130,Вы поздравляете |3-3(%s).,2,26
131,%s поздравляет всех.,4,26
132,Вы поздравляете всех вокруг.,6,26
133,"%s кашляет, пытаясь привлечь внимание |3-1(%s).",0,27
134,"%s кашляет, пытаясь привлечь ваше внимание.",1,27
135,"Вы кашляете, привлекая внимание |3-1(%s).",2,27
136,%s отрывисто кашляет.,4,27
137,Вы отрывисто кашляете.,6,27
138,%s дрожит от страха при виде |3-1(%s).,0,28
139,%s дрожит от страха при виде вас.,1,28
140,Вы дрожите от страха при виде |3-1(%s).,2,28
141,%s съеживается от страха.,4,28
142,Вы дрожите от страха.,6,28
143,"%s похрустывает костяшками пальцев, глядя на |3-3(%s).",0,29
144,"%s похрустывает костяшками пальцев, глядя на вас.",1,29
145,"Вы похрустываете костяшками, глядя на |3-3(%s).",2,29
146,%s похрустывает костяшками пальцев.,4,29
147,Вы похрустываете костяшками пальцев.,6,29
148,"%s похрустывает костяшками пальцев, глядя на |3-3(%s).",8,29
149,"%s похрустывает костяшками пальцев, глядя на вас.",9,29
150,%s похрустывает костяшками пальцев.,12,29
151,%s пятится от |3-1(%s).,0,30
152,%s съеживается и пятится от вас.,1,30
153,Вы в страхе пятитесь от |3-1(%s).,2,30
154,%s сжимается от страха.,4,30
155,Вы сжимаетесь от страха.,6,30
156,%s рыдает на плече |3-1(%s).,0,31
157,%s рыдает у вас на плече.,1,31
158,Вы рыдаете на плече у |3-1(%s).,2,31
159,%s плачет.,4,31
160,Вы плачете.,6,31
161,"|3-2(%s) интересно, что будет делать %s.",0,32
162,"%s интересуется, что вы собираетесь делать.",1,32
163,"Вам интересно, что будет делать %s.",2,32
164,%s демонстрирует всем свое любопытство.,4,32
165,Вы показываете окружающим свое любопытство.,6,32
166,%s показывает окружающим свое любопытство.,12,32
167,%s приседает перед |3-4(%s).,0,33
168,%s делает перед вами реверанс.,1,33
169,Вы делаете реверанс перед |3-4(%s).,2,33
170,%s делает реверанс.,4,33
171,Вы делаете реверанс.,6,33
172,%s танцует с |3-4(%s).,0,34
173,%s танцует с вами.,1,34
174,Вы танцуете с |3-4(%s).,2,34
175,%s пускается в пляс.,4,34
176,Вы пускаетесь в пляс.,6,34
177,%s пьет за |3-3(%s). Ваше здоровье!,0,35
178,%s пьет за вас. Ваше здорорвье!,1,35
179,Вы пьете за |3-3(%s). Ваше здоровье!,2,35
180,%s поднимает кубок. Будем здоровы!,4,35
181,Вы поднимаете кубок. Будем здоровы!,6,35
182,"%s млеет, глядя на |3-3(%s).",0,36
183,"%s млеет, глядя на вас.",1,36
184,"Вы млеете, глядя на |3-3(%s).",2,36
185,Струйка слюны сползает с губ |3-1(%s).,4,36
186,С ваших губ стекает струйка слюны.,6,36
187,%s начинает есть на глазах у |3-1(%s).,0,37
188,%s начинает подъедать припасы у вас на глазах.,1,37
189,Вы начинаете есть на глазах у |3-1(%s).,2,37
190,%s начинает есть.,4,37
191,Вы начинаете есть.,6,37
192,%s меряет взглядом |3-3(%s).,0,38
193,%s меряет вас взглядом.,1,38
194,Вы меряете взглядом |3-3(%s).,2,38
195,%s окосевши смотрит на вас.,4,38
196,У вас глаза лезут на лоб.,6,38
197,%s трется о |3-3(%s) и громко испускает газы.,0,39
198,%s трется о вас и громко испускает газы.,1,39
199,Вы третесь об |3-3(%s) и громко испускаете газы.,2,39
200,%s шумно испускает газы. Фу… что за вонь?,4,39
201,Вы испускаете газы. Фууу...чем это воняет?,6,39
202,"%s нервничает, ожидая |3-3(%s).",0,40
203,"%s нервничает, с нетерпением ожидая вас.",1,40
204,"Вы нервничаете, ожидая |3-3(%s).",2,40
205,%s нервничает.,4,40
206,Вы нервничаете.,6,40
207,%s поигрывает мускулами перед |3-4(%s). Какая сила!,0,41
208,%s поигрывает мускулами. Какая сила!,1,41
209,Вы поигрываете мускулами перед |3-4(%s). Какая сила!,2,41
210,%s поигрывает мускулами. Какая сила!,4,41
211,Вы поигрываете мускулами. Вот это сила!,6,41
212,%s поигрывает мускулами. Какая сила!,12,41
213,"%s досадливо хмурится, глядя на |3-3(%s).",0,42
214,%s хмуро глядит на вас.,1,42
215,Вы хмуро смотрите на |3-3(%s).,2,42
216,%s хмурится.,4,42
217,Вы хмуритесь.,6,42
218,%s ахает при виде |3-1(%s).,0,43
219,%s ахает при виде вас.,1,43
220,Вы ахаете при виде |3-1(%s).,2,43
221,%s ахает.,4,43
222,Вы ахаете.,6,43
223,%s пожирает взглядом |3-3(%s).,0,44
224,%s пожирает вас вас взглядом.,1,44
225,Вы пожираете взглядом |3-3(%s).,2,44
226,%s смотрит куда-то вдаль.,4,44
227,Вы смотрите куда-то вдаль.,6,44
228,"%s хихикает, глядя на |3-3(%s).",0,45
229,%s хихикает при виде вас.,1,45
230,Вы хихикаете при виде |3-1(%s).,2,45
231,%s хихикает.,4,45
232,Вы хихикаете.,6,45
233,%s бросает гневный взгляд на |3-3(%s).,0,46
234,%s бросает на вас гневный взгляд.,1,46
235,Вы бросаете гневный взгляд на |3-3(%s).,2,46
236,%s смотрит исподлобья.,4,46
237,Вы смотрите гневным взглядом.,6,46
238,%s злорадствует по поводу неудачи |3-1(%s).,0,47
239,%s злорадствует по поводу вашей неудачи.,1,47
240,Вы злорадствуете по поводу неудачи |3-1(%s).,2,47
241,%s злорадствует по поводу общей неудачи.,4,47
242,Вы злорадствуете по поводу общей неудачи.,6,47
243,%s тепло приветствует |3-3(%s).,0,48
244,%s тепло вас приветствует.,1,48
245,Вы тепло приветствуете |3-3(%s).,2,48
246,%s всех тепло приветствует.,4,48
247,Вы тепло приветствуете всех вокруг.,6,48
248,%s злобно ухмыляется |3-2(%s).,0,49
249,%s злобно скалится на вас.,1,49
250,Вы злобно ухмыляетесь |3-2(%s).,2,49
251,%s злобно ухмыляется.,4,49
252,Вы злобно ухмыляетесь.,6,49
253,%s смотрит на |3-3(%s) и стонет.,0,50
254,%s смотрит на вас и стонет.,1,50
255,Вы смотрите на |3-3(%s) и стонете.,2,50
256,%s начинает стонать.,4,50
257,Вы начинаете стонать.,6,50
258,"%s ползает на брюхе перед |3-4(%s), как услужливый слуга.",0,51
259,"%s ползает перед вами, как услужливый слуга.",1,51
260,"Вы ползаете перед |3-4(%s), как услужливый слуга.",2,51
261,"%s ползает на брюхе, выражая покорность.",4,51
262,"Вы ползаете на брюхе, выражая полную покорность.",6,51
263,%s смотрит на |3-3(%s) и ржет во весь голос!,0,52
264,%s смотрит на вас и громко ржет!,1,52
265,Вы смотрите на |3-3(%s) и ржете!,2,52
266,%s громко смеется!,4,52
267,Вы громко гогочете!,6,52
268,%s приветствует |3-3(%s).,0,53
269,%s приветствует вас.,1,53
270,Вы приветствуете |3-3(%s).,2,53
271,%s приветствует всех вокруг.,4,53
272,Вы приветствуете всех.,6,53
273,%s приветствует всех вокруг.,12,53
274,%s не может нарадоваться |3-4(%s)!,0,54
275,Вы очень угодили |3-2(%s)!,1,54
276,Вы очень довольны |3-4(%s)!,2,54
277,|3-3(%s) переполняет счастье!,4,54
278,Вас переполняет счастье!,6,54
279,%s сердечно приветствует |3-3(%s)!,0,55
280,%s сердечно приветствует вас!,1,55
281,Вы от всего сердца приветствуете |3-3(%s)!,2,55
282,%s сердечно приветствует всех вокруг!,4,55
283,Вы от всего сердца приветствуете всех!,6,55
284,%s крепко обнимает |3-3(%s).,0,56
285,%s крепко обнимает вас.,1,56
286,Вы крепко обнимаете |3-3(%s).,2,56
287,%s хочет ласки!,4,56
288,"Вы хотите, чтобы вас обняли.",6,56
289,"%s хочет есть. Может, у |3-1(%s) найдется какая-нибудь еда...",0,57
290,"%s хочет есть. Может, у вас найдется какая-нибудь еда...",1,57
291,"Вы голодны. Возможно, у |3-1(%s) есть что-нибудь поесть...",2,57
292,%s хочет есть!,4,57
293,Вы голодны!,6,57
294,%s посылает воздушный поцелуй |3-2(%s).,0,58
295,%s посылает вам воздушный поцелуй.,1,58
296,Вы посылаете воздушный поцелуй |3-2(%s).,2,58
297,%s посылает воздушный поцелуй.,4,58
298,Вы посылаете воздушный поцелуй.,6,58
299,%s преклоняет колени перед |3-4(%s).,0,59
300,%s преклоняет колени перед вами.,1,59
301,Вы преклоняете колена перед |3-4(%s).,2,59
302,%s преклоняет колени.,4,59
303,Вы преклоняете колени.,6,59
304,%s смеется над |3-4(%s).,0,60
305,%s смеется над вами.,1,60
306,Вы смеетесь над |3-4(%s).,2,60
307,%s смеется.,4,60
308,Вы смеетесь.,6,60
309,%s ложится перед |3-4(%s).,0,61
310,%s ложится перед вами.,1,61
311,Вы ложитесь перед |3-4(%s).,2,61
312,%s ложится.,4,61
313,Вы ложитесь.,6,61
314,%s массирует плечи |3-2(%s).,0,62
315,%s растирает вам плечи.,1,62
316,Вы массируете плечи |3-2(%s).,2,62
317,|3-2(%s) нужен массаж!,4,62
318,Вам нужен массаж!,6,62
319,%s призывно стонет перед |3-4(%s).,0,63
320,%s призывно стонет перед вами.,1,63
321,Вы призывно стонете перед |3-4(%s).,2,63
322,%s призывно стонет.,4,63
323,Вы призывно стонете.,6,63
324,%s снимает штаны и показывает зад |3-2(%s).,0,64
325,%s снимает штаны и показывает вам зад.,1,64
326,Вы снимаете штаны и показываете зад |3-2(%s).,2,64
327,%s снимает штаны и показывает всем зад.,4,64
328,Вы снимаете штаны и показываете всем зад.,6,64
329,%s показывает голый зад |3-2(%s).,8,64
330,%s снимает штаны и показывает вам зад.,9,64
331,%s снимает штаны и показывает всем зад.,12,64
332,В глубоком молчании %s скорбит о смерти |3-1(%s).,0,65
333,В глубоком молчании %s скорбит о вашей смерти.,1,65
334,В глубоком молчании вы скорбите о гибели |3-1(%s).,2,65
335,В глубоком молчании %s скорбит по погибшим.,4,65
336,В глубоком молчании вы скорбите о павших.,6,65
337,"%s говорит |3-2(%s): ""НЕТ! Этому не бывать!""",0,66
338,"%s говорит вам: ""НЕТ. Этому не бывать!""",1,66
339,"Вы отвечаете |3-2(%s): ""НЕТ! Этому не бывать!""",2,66
340,"%s твердо заявляет: ""НЕТ!""",4,66
341,"Вы твердо заявляете: ""НЕТ!""",6,66
342,%s кивает |3-2(%s).,0,67
343,%s кивает вам.,1,67
344,Вы киваете |3-2(%s).,2,67
345,%s кивает.,4,67
346,Вы киваете.,6,67
347,%s выковыривает из носу козявку и показывает ее |3-2(%s).,0,68
348,%s достает из носа козявку и показывает вам.,1,68
349,Вы достаете из носу козявку и показываете ее |3-2(%s).,2,68
350,"%s коротает время, копаясь в носу.",4,68
351,"Вы коротаете время, ковыряясь в носу.",6,68
352,%s выковыривает из носа козявку и показывает |3-2(%s).,8,68
353,%s достает из носа козявку и показывает вам.,9,68
354,%s бросает взгляд на |3-3(%s) и впадает в панику.,0,69
355,%s бросает на вас взгляд и впадает в панику.,1,69
356,Вы бросаете взгляд на |3-3(%s) и впадаете в панику.,2,69
357,%s бегает кругами в паническом ужасе.,4,69
358,Вы в панике бегаете кругами.,6,69
359,%s испытующе смотрит на |3-3(%s).,0,70
360,%s испытующе смотрит на вас.,1,70
361,Вы испытующе смотрите на |3-3(%s).,2,70
362,%s внимательно осматривается.,4,70
363,Вы внимательно осматриваетесь.,6,70
364,%s умоляет |3-3(%s).,0,71
365,%s умоляет вас.,1,71
366,Вы умоляете |3-3(%s).,2,71
367,%s падает на колени в отчаянной мольбе.,4,71
368,Вы падаете на колени в отчаянной мольбе.,6,71
369,%s падает на колени в отчаянной мольбе.,12,71
370,%s показывает на |3-3(%s).,0,72
371,%s показывает на вас.,1,72
372,Вы показываете на |3-3(%s).,2,72
373,%s показывает в ту сторону.,4,72
374,Вы показываете в ту сторону.,6,72
375,%s пихает |3-3(%s) локтем. Эй!,0,73
376,%s пихает вас локтем. Эй!,1,73
377,Вы пихаете в бок |3-3(%s). Эй!,2,73
378,%s тычет себя в живот и хихикает.,4,73
379,Вы тыкаете себя в живот и хихикаете.,6,73
380,%s тычет себя в живот и хихикает.,12,73
381,%s молится за |3-3(%s).,0,74
382,%s молится за вас.,1,74
383,Вы молитесь за |3-3(%s).,2,74
384,%s молится богам.,4,74
385,Вы молитесь богам.,6,74
386,%s бешено рычит на |3-3(%s). Вот это ярость!,0,75
387,%s бешено рычит на вас. Какая ярость!,1,75
388,Вы в бешенстве рычите на |3-3(%s). Вот это ярость!,2,75
389,%s бешено рычит. Вот это ярость!,4,75
390,Вы бешено рычите. Какая ярость!,6,75
391,"%s катается от смеха по полу, глядя на |3-3(%s).",0,76
392,%s катается по полу от смеха при виде вас.,1,76
393,"Вы катаетесь от смеха по полу, глядя на |3-3(%s).",2,76
394,%s катается по полу от смеха.,4,76
395,Вы катаетесь по полу от смеха.,6,76
396,%s делает неприличный жест в сторону |3-1(%s).,0,77
397,%s делает в вашу сторону неприличный жест.,1,77
398,Вы делаете неприличный жест в сторону |3-1(%s).,2,77
399,%s делает неприличный жест.,4,77
400,Вы делаете неприличный жест.,6,77
401,%s отдает честь |3-2(%s).,0,78
402,%s почтительно отдает вам честь.,1,78
403,Вы почтительно отдаете честь |3-2(%s).,2,78
404,%s становится навытяжку и отдает честь.,4,78
405,Вы становитесь навытяжку и отдаете честь.,6,78
406,%s чешет |3-3(%s). Как котяво!,0,79
407,%s чешет вас. Как котяво!,1,79
408,Вы чешете |3-3(%s). Как котяво!,2,79
409,%s чешется. Полегчало!,4,79
410,Вы чешетесь. Полегчало!,6,79
411,"%s чешется. Ну вот, теперь гораздо лучше.",12,79
412,"%s считает, что %s – сама сексуальность.",0,80
413,"%s думает, что вы – сама сексуальность.",1,80
414,"Вы думаете, что %s – сама сексуальность.",2,80
415,%s слишком сексуален... Невыносимо!,4,80
416,Вы чересчур сексуальны... прямо невыносимо!,6,80
417,%s слишком сексуальна... прямо невыносимо!,12,80
418,%s вертит задом перед |3-4(%s).,0,81
419,%s вертит задом перед вами.,1,81
420,Вы вертите задом перед |3-4(%s).,2,81
421,%s вертит задом.,4,81
422,Вы вертите задом.,6,81
423,%s вертит задом перед |3-4(%s).,8,81
424,%s вертит задом перед вами.,9,81
425,%s вертит задом.,12,81
426,%s кричит на |3-3(%s).,0,82
427,%s кричит на вас.,1,82
428,Вы кричите на |3-3(%s).,2,82
429,%s кричит.,4,82
430,Вы кричите.,6,82
431,%s пожимает плечами в ответ |3-2(%s). Кто знает?,0,83
432,%s пожимает плечами. Кто знает?,1,83
433,Вы пожимаете плечами в ответ |3-2(%s). Кто знает?,2,83
434,%s пожимает плечами. Кто знает?,4,83
435,Вы пожимаете плечами. Кто знает?,6,83
436,%s застенчиво улыбается |3-2(%s).,0,84
437,%s хитро улыбается вам.,1,84
438,Вы застенчиво улыбаетесь |3-2(%s).,2,84
439,%s смущенно улыбается.,4,84
440,Вы застенчиво улыбаетесь.,6,84
441,"%s вздыхает, глядя на |3-3(%s).",0,85
442,"%s вздыхает, глядя на вас.",1,85
443,"Вы вздыхаете, глядя на |3-3(%s).",2,85
444,"%s испускает долгий, усталый вздох.",4,85
445,"Вы испускаете долгий, усталый вздох.",6,85
446,,4,86
447,,6,86
448,%s засыпает. Хррррррр.,4,87
449,Вы засыпаете. Хррррр...,6,87
450,%s скалится и ворчит на |3-3(%s).,0,88
451,%s скалится и ворчит на вас.,1,88
452,Вы скалитесь и ворчите на |3-3(%s).,2,88
453,%s скалится и рычит.,4,88
454,Вы скалитесь и ворчите.,6,88
455,%s скалится и рычит на |3-3(%s).,8,88
456,%s скалится и рычит на вас.,9,88
457,%s скалится и ворчит.,12,88
458,%s плюет в |3-3(%s).,0,89
459,%s плюет в вас.,1,89
460,Вы плюете в |3-3(%s).,2,89
461,%s плюет на пол.,4,89
462,Вы плюете на землю.,6,89
463,%s меряет взглядом |3-3(%s).,0,90
464,%s меряет вас взглядом.,1,90
465,Вы меряете взглядом |3-3(%s).,2,90
466,%s смотрит куда-то вдаль.,4,90
467,Вы пристально смотрите вдаль.,6,90
468,%s в недоумении от действий |3-1(%s).,0,91
469,|3-3(%s) удивляют ваши действия.,1,91
470,Вы удивлены действиями |3-1(%s).,2,91
471,%s в таком удивлении!,4,91
472,Вы так удивлены!,6,91
473,%s сдается |3-2(%s). Тяжела горечь поражения...,0,92
474,%s сдается вам. Тяжела горечь поражения...,1,92
475,Вы сдаетесь |3-2(%s). Тяжела горечь поражения...,2,92
476,%s сдается на милость победителей.,4,92
477,Вы сдаетесь на милость победителей.,6,92
478,%s сдается на милость победителей.,12,92
479,%s хочет поговорить о делах с |3-4(%s).,0,93
480,%s хочет обсудить ситуацию с вами.,1,93
481,Вы хотите обсудить дела с |3-4(%s).,2,93
482,%s разговаривает сам с собой. Остальным неинтересно...,4,93
483,"Вы разговариваете сами с собой, поскольку остальные вас не слушают.",6,93
484,"%s разговаривает сама с собой, поскольку остальные не слушают.",12,93
485,%s оживленно разговаривает с |3-4(%s).,0,94
486,%s возбужденно разговаривает с вами.,1,94
487,Вы возбужденно разговариваете с |3-4(%s).,2,94
488,%s возбужденно разговаривает со всеми вокруг.,4,94
489,Вы возбужденно говорите со всеми вокруг.,6,94
490,%s спрашивает |3-3(%s).,0,95
491,%s спрашивает вас.,1,95
492,Вы спрашиваете |3-3(%s).,2,95
493,%s хочет познать смысл жизни.,4,95
494,Вы хотите познать смысл жизни.,6,95
495,%s притопывает ногой в ожидании |3-1(%s).,0,96
496,%s притопывает ногой в ожидании вас.,1,96
497,Вы притопываете ногой в ожидании |3-1(%s).,2,96
498,"%s притопывает ногой. Ну, побыстрее!",4,96
499,"Вы притопываете ногой. Ну, быстрее же!",6,96
500,%s притопывает ногой в ожидании |3-1(%s).,8,96
501,%s притопывает ногой в ожидании вас.,9,96
502,%s притопывает ногой. Ну побыстрее!,12,96
503,%s благодарит |3-3(%s).,0,97
504,%s благодарит вас.,1,97
505,Вы благодарите |3-3(%s).,2,97
506,%s благодарит всех.,4,97
507,Вы благодарите всех.,6,97
508,%s угрожает |3-2(%s) гневом судьбы.,0,98
509,%s пророчит вам кару небесную.,1,98
510,Вы пророчите |3-2(%s) кару небесную.,2,98
511,%s пророчит всем кару небесную.,4,98
512,Вы пророчите всем кару небесную.,6,98
513,"%s показывает |3-2(%s), что он устал.",0,99
514,"%s показывает вам, что устал.",1,99
515,"Вы показываете |3-2(%s), что устали.",2,99
516,"%s показывает всем, что он устал.",4,99
517,"Вы показываете всем, что устали.",6,99
518,"%s показывает |3-2(%s), что она устала.",8,99
519,"%s показывает вам, что она устала.",9,99
520,"%s показывает всем, что она устала.",12,99
521,%s упивается славой вместе с |3-4(%s).,0,100
522,%s вместе с вами упивается победой.,1,100
523,Вы упиваетесь славой вместе с |3-4(%s).,2,100
524,%s упивается победой.,4,100
525,Вы упиваетесь победой.,6,100
526,%s машет рукой |3-2(%s).,0,101
527,%s машет вам рукой.,1,101
528,Вы машете рукой |3-2(%s).,2,101
529,%s машет рукой.,4,101
530,Вы машете рукой.,6,101
531,"%s говорит |3-3(%s): ""Не стоит благодарности!""",0,102
532,"%s говорит вам: ""Не стоит благодарности!""""",1,102
533,"Вы говорите |3-2(%s): ""Не стоит благодарности!""",2,102
534,"%s уверяет всех, что это был сущий пустяк.",4,102
535,"Вы уверяете всех, что это был сущий пустяк.",6,102
536,%s жалобно скулит перед |3-4(%s).,0,103
537,%s жалобно скулит перед вами.,1,103
538,Вы жалобно скулите перед |3-4(%s)s.,2,103
539,%s жалобно скулит.,4,103
540,Вы жалобно скулите.,6,103
541,%s свистит |3-2(%s).,0,104
542,%s свистит вам.,1,104
543,Вы свистите |3-2(%s).,2,104
544,%s пронзительно свистит.,4,104
545,Вы пронзительно свистите.,6,104
546,%s работает с |3-4(%s).,0,105
547,%s работает с вами.,1,105
548,Вы работаете с |3-4(%s).,2,105
549,%s начинает работать.,4,105
550,Вы приступаете к работе.,6,105
551,"%s сонно зевает, глядя на |3-3(%s).",0,106
552,%s лениво зевает вам в лицо.,1,106
553,"Вы лениво зеваете, глядя на |3-3(%s).",2,106
554,%s сонно зевает.,4,106
555,Вы сонно зеваете.,6,106
556,%s изумленно смотрит на |3-3(%s).,0,107
557,%s изумленно смотрит на вас.,1,107
558,Вы изумленно смотрите на |3-3(%s).,2,107
559,%s разводит руками в замешательстве.,4,107
560,"Вы не знаете, что делать в этой ситуации.",6,107
561,%s пытается успокоить |3-3(%s).,0,108
562,%s пытается вас успокоить.,1,108
563,Вы пытаетесь успокоить |3-3(%s).,2,108
564,%s сохраняет спокойствие.,4,108
565,Вы сохраняете спокойствие.,6,108
566,"%s показывает |3-2(%s), что ему холодно.",0,109
567,"%s показывает вам, что ему холодно.",1,109
568,"Вы показываете |3-2(%s), что вы замерзли.",2,109
569,"%s показывает всем, что ему холодно.",4,109
570,"Вы показываете всем, что вам холодно.",6,109
571,"%s показывает |3-2(%s), что ей холодно.",8,109
572,"%s показывает вам, что ей холодно.",9,109
573,"%s показывает всем, что ей холодно.",12,109
574,%s утешает |3-3(%s).,0,110
575,%s утешает вас.,1,110
576,Вы утешаете |3-3(%s).,2,110
577,%s нуждается в утешении.,4,110
578,Вы нуждаетесь в утешении.,6,110
579,%s прижимается к |3-2(%s).,0,111
580,%s прижимается к вам.,1,111
581,Вы прижимаетесь к |3-2(%s).,2,111
582,%s хочет ласки.,4,111
583,Вам хочется ласки.,6,111
584,%s прячется за спину |3-1(%s).,0,112
585,%s прячется за вашу спину.,1,112
586,Вы прячетесь за спину |3-1(%s).,2,112
587,%s ищет укрытие.,4,112
588,Вы ищете укрытие.,6,112
589,"%s думает, что %s – отродье пьяного огра.",0,113
590,"%s думает, что вы – отродье пьяного огра.",1,113
